GBAC,Year,Country,Host,Serotype,Topotype,Lineage,pool
OM863581/KEN/cattle/2012/A/AFRICA/Unknown,2012,KEN,cattle,A,AFRICA,,Pool4
OM863580/EGY/cattle/2012/A/AFRICA/Unknown,2012,EGY,cattle,A,AFRICA,,Pool3/Pool4
LC729872/THA/pig/2016/O/ME-SA/Unknown,2016,THA,pig,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
LC729871/THA/cow/2016/O/ME-SA/Unknown,2016,THA,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
LC729870/THA/cow/2016/O/ME-SA/Unknown,2016,THA,cow,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,Pool1
OP585403/IDN/cattle/2022/O/ME-SA/Unknown,2022,IDN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,,
OM160625/DZA/sheep/2015/O/ME-SA/Ind-2001d,2015,DZA,sheep,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160624/DZA/cattle/2014/O/ME-SA/Ind-2001d,2014,DZA,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160623/DZA/cattle/2014/O/ME-SA/Ind-2001d,2014,DZA,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160621/DZA/cattle/2014/O/ME-SA/Ind-2001d,2014,DZA,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160620/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160619/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160617/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160616/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160615/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160614/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160613/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160612/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160611/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM160610/TUN/cattle/2014/O/ME-SA/Ind-2001d,2014,TUN,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,Ind-2001d,
OM456150/PAK/buffalo/2010/O/ME-SA/PanAsia-2,2010,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456149/PAK/cattle/2012/O/ME-SA/PanAsia-2,2012,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456148/PAK/buffalo/2012/O/ME-SA/PanAsia-2,2012,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456147/PAK/cattle/2011/O/ME-SA/PanAsia-2,2011,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456146/PAK/cattle/2010/O/ME-SA/PanAsia-2,2010,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456144/PAK/cattle/2010/O/ME-SA/PanAsia-2,2010,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456143/PAK/buffalo/2012/O/ME-SA/PanAsia-2,2012,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456142/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456141/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456140/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456139/PAK/buffalo/2011/O/ME-SA/PanAsia-2,2011,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456138/PAK/buffalo/2009/O/ME-SA/PanAsia-2,2009,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456137/PAK/cattle/2012/O/ME-SA/PanAsia-2,2012,PAK,cattle,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
OM456136/PAK/buffalo/2012/O/ME-SA/PanAsia-2,2012,PAK,buffalo,O,MIDDLE-EAST-SOUTH-ASIA-ME-SA,PanAsia-2,Pool3
