# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 02 22:48:09 MSK 2025 [seed=1735846506594]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
220000	-7572.1763962467785	-7811.719958445293	-239.54356219851437	1.0	-7811.719958445293
221000	-7624.838428684489	-7804.972832820296	-180.1344041358073	1.0	-7804.972832820296
222000	-7499.113046077658	-7825.1802700678	-326.06722399014194	1.0	-7825.1802700678
223000	-7512.839867026275	-7814.082304633472	-301.2424376071968	1.0	-7814.082304633472
224000	-7622.764437781797	-7802.070636921616	-179.30619913981877	1.0	-7802.070636921616
225000	-7665.700443559763	-7795.913087505551	-130.21264394578765	1.0	-7795.913087505551
226000	-7642.042323233658	-7795.811692338983	-153.76936910532586	1.0	-7795.811692338983
227000	-7651.6008683869695	-7792.095899739886	-140.4950313529159	1.0	-7792.095899739886
228000	-7083.104586780748	-7833.242307168229	-750.1377203874808	1.0	-7833.242307168229
229000	-7600.097993029591	-7805.290220382015	-205.19222735242408	1.0	-7805.290220382015
230000	-7635.854673335366	-7800.227446459406	-164.37277312403978	1.0	-7800.227446459406
